price,address,area,bedrooms,parkingSpaces,bathrooms,lat,lng
R$ 183.999,"Rua Félix Heinzelmann, Costa E Silva",47,2,1, 2,-26.2710829,-48.8645962
Sob consulta,"Rua Inambu, Costa E Silva",45,1,1, 1,-26.2732967,-48.8817773
Sob consulta,"Rua Duque de Caxias, Centro",360,2,1, 2,-7.119034099999999,-34.8839302
R$ 450.000,"Rua Brasil, Bom Retiro",83,3,1, 2,-26.2704892,-48.8396421
R$ 368.000,"Bom Retiro, Joinville",83,3,2, 2,-26.264775,-48.84471629999999
R$ 6.328.000,"América, Joinville",2109,Não definido,Não definido,Não definido,-26.286149,-48.847743
R$ 235.000,"Rua Lagamar, Bom Retiro",61,2,1, 1,-26.2602183,-48.8492122
R$ 250.000,"Avenida Antônio Ramos Alvim, Floresta",61,3,1, 1,-26.3339611,-48.8521211
R$ 360.000,"Costa E Silva, Joinville",95,3,2, 3,-26.2737145,-48.8721318
R$ 159.000,"Avenida Antônio Ramos Alvim, Floresta",50,2,1, 1,-26.3339611,-48.8521211
R$ 330.000,"Rua Doutor João Colin, América",77,2,1, 2,-26.2892953,-48.8485991
R$ 269.000,"Rua Pavão, Costa E Silva",80,3,1, 2,-26.2724899,-48.88052560000001
R$ 475.000,"Rua Juta W G Wendel, Costa E Silva",150,3,3, 3,-26.2719958,-48.868027
R$ 247.000,"Rua José do Patrocínio, Saguaçú",58,2,1, 2,-26.2865855,-48.8381868
R$ 395.000,"Floresta, Joinville",110,3,Não definido, 1,-26.337835,-48.8474843
R$ 280.401,"Costa E Silva, Joinville",58,2,2, 2,-26.2737145,-48.8721318
R$ 250.000,"Saguaçú, Joinville",36,Não definido,Não definido, 1,-26.2831449,-48.8408758
R$ 490.000,"Floresta, Joinville",858,Não definido,Não definido,Não definido,-26.337835,-48.8474843
R$ 220.000,"Costa E Silva, Joinville",82,3,Não definido, 1,-26.2737145,-48.8721318
R$ 478.000,"Saguaçú, Joinville",108,3,3, 3,-26.2831449,-48.8408758
R$ 341.000,"Costa E Silva, Joinville",108,3,2, 3,-26.2737145,-48.8721318
R$ 341.000,"Costa E Silva, Joinville",108,3,2, 3,-26.2737145,-48.8721318
R$ 200.000,"Rua Roberto Wolf, Costa E Silva",50,2,1, 1,-26.2648903,-48.8676016
R$ 480.000,"Bom Retiro, Joinville",660,Não definido,Não definido,Não definido,-26.264775,-48.84471629999999
Sob consulta,"Rua Duque de Caxias, Centro",360,2,1, 2,-7.119034099999999,-34.8839302
Sob consulta,"Rua Duque de Caxias, Centro",121,3,2, 2,-7.119034099999999,-34.8839302
R$ 198.000,"Rua da Independência, Anita Garibaldi",64,1,1, 1,-26.3203374,-48.8618919
R$ 799.000,"Rua Parintintins, Costa E Silva",223,3,2, 3,-26.2811466,-48.8711063
R$ 205.000,"Costa E Silva, Joinville",64,3,2, 1,-26.2737145,-48.8721318
R$ 580.000,"Rua Affonso Baumer, Costa E Silva",137,4,2, 2,-26.2668335,-48.8779362
R$ 371.788,"Costa E Silva, Joinville",70,2,2, 2,-26.2737145,-48.8721318
R$ 200.000,"Rua Roberto Wolf, Costa E Silva",50,2,1, 1,-26.2648903,-48.8676016
R$ 390.000,"Costa E Silva, Joinville",134,3,2, 2,-26.2737145,-48.8721318
R$ 310.000,"Costa E Silva, Joinville",108,3,2, 2,-26.2737145,-48.8721318
R$ 300.000,"Costa E Silva, Joinville",97,3,2, 2,-26.2737145,-48.8721318
R$ 209.000,"Costa E Silva, Joinville",59,2,1, 2,-26.2737145,-48.8721318
R$ 298.000,"Rua Professor Schutzler, Costa E Silva",71,2,1, 2,-26.2666923,-48.8639845
R$ 320.000,"Rua Dona Elza Meinert, Costa E Silva",117,3,Não definido, 3,-26.2786197,-48.8745682
R$ 289.000,"Rua Guilherme, Costa E Silva",58,2,1, 1,-26.2789387,-48.86575060000001
R$ 515.000,"Rua Guilhermina Heidemann de Oliveira, Costa E Silva",161,3,2, 2,-26.2733185,-48.8889187
R$ 498.000,"Rua Guilherme Zilmann, Costa E Silva",156,3,2, 3,-26.2871025,-48.8966328
R$ 208.000,"Rua Garça Branca, Costa E Silva",51,2,1, 1,-26.2785643,-48.8786157
R$ 495.761,"Costa E Silva, Joinville",114,2,Não definido, 1,-26.2737145,-48.8721318
R$ 235.000,"Rua Albino Kolbach, Costa E Silva",124,3,1, 4,-26.283651,-48.87050929999999
R$ 480.000,"Costa E Silva, Joinville",218,3,3, 3,-26.2737145,-48.8721318
R$ 320.000,"Costa E Silva, Joinville",85,3,1, 2,-26.2737145,-48.8721318
R$ 296.000,"Costa E Silva, Joinville",62,2,1, 2,-26.2737145,-48.8721318
R$ 187.156,"Rua Professor Rodrigues Freitas, Costa E Silva",55,2,Não definido, 1,-26.2831717,-48.8797356
R$ 173.000,"Rua Porto Belo, Bucarein",54,1,1, 1,-26.3142605,-48.8355015
Sob consulta,"Rua Conselheiro Pedreira, Pirabeiraba Pirabeiraba",71,1,1, 1 - 2,-26.2023513,-48.9075794
Sob consulta,"Rua Conselheiro Pedreira, Pirabeiraba Pirabeiraba",60,2,1, 2,-26.2023513,-48.9075794
R$ 799.000,"Rua Parintintins, Costa E Silva",223,3,2, 3,-26.2811466,-48.8711063
R$ 202.000,"Rua Adriano Schondermank, Costa E Silva",50,2,1, 1,-26.2817172,-48.8756463
R$ 240.000,"Rua Henrique Miers, Costa E Silva",56,2,1, 2,-26.2768412,-48.8714287
R$ 320.000,"Costa E Silva, Joinville",105,3,2, 2,-26.2737145,-48.8721318
R$ 219.001,"Costa E Silva, Joinville",63,3,1, 1,-26.2737145,-48.8721318
R$ 375.000,"Costa E Silva, Joinville",75,3,2, 2,-26.2737145,-48.8721318
R$ 310.000,"Rua Agostinho José Cognaco, Costa E Silva",108,3,2, 3,-26.2677292,-48.8850177
R$ 400.000,"Rua Professor Trindade, Costa E Silva",560,Não definido,Não definido,Não definido,-26.2666656,-48.8835661
R$ 370.000,"Rua Benjamin Constant, Costa E Silva",104,3,3, 1,-26.2848187,-48.8750428
R$ 245.000,"Costa E Silva, Joinville",63,2,2, 2,-26.2737145,-48.8721318
R$ 250.000,"Costa E Silva, Joinville",79,2,2, 2,-26.2737145,-48.8721318
R$ 699.000,"Rua Canário Belga, Costa E Silva",159,4,2, 3,-26.2701666,-48.875026
R$ 190.000,"Rua Helena Degelmann, Costa E Silva",62,3,1, 1,-26.2767639,-48.8698086
R$ 275.000,"Costa E Silva, Joinville",84,2,2, 2,-26.2737145,-48.8721318
R$ 329.000,"Rua Professor Felício Fuzinato, Costa E Silva",71,2,1, 2,-26.2703151,-48.8665016
R$ 320.000,"Costa E Silva, Joinville",506,Não definido,Não definido,Não definido,-26.2737145,-48.8721318
R$ 199.000,"Rua Helena Degelmann, Costa E Silva",57,2,1, 1,-26.2767639,-48.8698086
R$ 420.000,"Costa E Silva, Joinville",116,4,3, 2,-26.2737145,-48.8721318
R$ 165.000,"Rua Hermann Lange, Costa E Silva",56,2,1, 1,-26.2661677,-48.8682796
R$ 265.000,"Costa E Silva, Joinville",69,2,1, 2,-26.2737145,-48.8721318
R$ 390.000,"Costa E Silva, Joinville",125,3,2, 2,-26.2737145,-48.8721318
R$ 141.000,"Rua Colombo, Petrópolis",50,2,1, 1,-22.5258349,-43.1870964
R$ 146.400,"Rua Israel, João Costa",39,2,Não definido, 1,-26.3420885,-48.8028981
R$ 145.900,"Rua Vitória Chiodini Spézia, Jaraguá Esquerdo",38,1,1, 1,-26.4966842,-49.0956132
R$ 298.000,"Rua Professor Schutzler, Costa E Silva",71,2,1, 2,-26.2666923,-48.8639845
R$ 187.664,"Costa E Silva, Joinville",50,2,1, 1,-26.2737145,-48.8721318
R$ 265.000,"Rua Eugênio Fleischer, Costa E Silva",60,2,1, 1,-26.2724811,-48.8695815
R$ 322.000,"Costa E Silva, Joinville",61,2,1, 2,-26.2737145,-48.8721318
R$ 503.257,"Costa E Silva, Joinville",98,3,2, 2,-26.2737145,-48.8721318
R$ 327.000,"Costa E Silva, Joinville",84,3,2, 2,-26.2737145,-48.8721318
R$ 379.000,"Costa E Silva, Joinville",130,2,2, 2,-26.2737145,-48.8721318
R$ 295.000,"Rua Pavão, Costa E Silva",78,2,1, 2,-26.2724899,-48.88052560000001
R$ 190.000,"Rua Helena Degelmann, Costa E Silva",62,3,1, 1,-26.2767639,-48.8698086
R$ 369.000,"Costa E Silva, Joinville",97,3,3, 3,-26.2737145,-48.8721318
R$ 240.000,"Costa E Silva, Joinville",75,2,1, 2,-26.2737145,-48.8721318
R$ 515.000,"Costa E Silva, Joinville",161,3,1, 3,-26.2737145,-48.8721318
R$ 218.000,"Costa E Silva, Joinville",54,2,2, 1,-26.2737145,-48.8721318
R$ 349.900,"Costa E Silva, Joinville",75,2,1, 2,-26.2737145,-48.8721318
R$ 280.000,"Rua Egon Bachtold, Costa E Silva",240,Não definido,Não definido,Não definido,-26.2806508,-48.8830495
R$ 280.000,"Rua Albino Kolbach, Costa E Silva",110,2,1, 2,-26.283651,-48.87050929999999
R$ 620.000,"Costa E Silva, Joinville",155,3,2, 4,-26.2737145,-48.8721318
R$ 173.000,"Rua Alberto Wiest, Costa E Silva",48,2,1, 1,-26.2707697,-48.8866373
R$ 490.000,"Costa E Silva, Joinville",164,3,2, 2,-26.2737145,-48.8721318
R$ 350.000,"Costa E Silva, Joinville",490,Não definido,Não definido,Não definido,-26.2737145,-48.8721318
R$ 400.000,"Costa E Silva, Joinville",71,3,2, 2,-26.2737145,-48.8721318
R$ 147.000,"Rua 1508, São Luís",52,2,1, 1,-2.5382858,-44.298891
R$ 134.400,"Rua Bertha Weege, Barra do Rio Cerro",38,2,1, 1,-26.5082214,-49.134218
R$ 175.000,"Rua Pavão, Costa E Silva",55,2,1, 1,-26.2724899,-48.88052560000001
R$ 335.000,"Rua Henrique Miers, Costa E Silva",71,2,1, 2,-26.2768412,-48.8714287
R$ 280.000,"Costa E Silva, Joinville",70,2,2, 2,-26.2737145,-48.8721318
R$ 233.000,"Costa E Silva, Joinville",63,2,2, 1,-26.2737145,-48.8721318
R$ 230.000,"Rua Henrique Miers, Costa E Silva",56,2,1, 2,-26.2768412,-48.8714287
R$ 245.000,"Costa E Silva, Joinville",63,2,2, 2,-26.2737145,-48.8721318
R$ 295.747,"Rua Hermann Lange, Costa E Silva",58,2,2, 2,-26.2661677,-48.8682796
R$ 480.000,"Costa E Silva, Joinville",218,3,3, 3,-26.2737145,-48.8721318
R$ 250.000,"Costa E Silva, Joinville",71,2,1, 1,-26.2737145,-48.8721318
R$ 187.664,"Costa E Silva, Joinville",50,2,1, 1,-26.2737145,-48.8721318
R$ 590.000,"Rua Affonso Baumer, Costa E Silva",170,4,3, 3,-26.2668335,-48.8779362
R$ 531.281,"Costa E Silva, Joinville",112,3,2, 1,-26.2737145,-48.8721318
R$ 380.000,"Costa E Silva, Joinville",106,3,2, 4,-26.2737145,-48.8721318
R$ 150.000,"Costa E Silva, Joinville",55,3,1, 1,-26.2737145,-48.8721318
R$ 379.000,"Costa E Silva, Joinville",130,2,2, 2,-26.2737145,-48.8721318
R$ 699.000,"Rua Canário Belga, Costa E Silva",159,4,2, 3,-26.2701666,-48.875026
R$ 277.716,"Costa E Silva, Joinville",71,3,1, 2,-26.2737145,-48.8721318
R$ 620.000,"Costa E Silva, Joinville",129,3,2, 3,-26.2737145,-48.8721318
R$ 266.277,"Rua Carlos Willy Boehm, Costa E Silva",59,1,1, 1,-26.2705524,-48.8628367
R$ 340.000,"Rua Albatroz, Costa E Silva",719,Não definido,Não definido,Não definido,-26.2766745,-48.8817985
R$ 447.774,"Rua Engelberto Hagelmann, Costa E Silva",94,3,2, 3,-26.2821879,-48.8719626
R$ 289.000,"Rua Guilherme, Costa E Silva",58,2,1, 1,-26.2789387,-48.86575060000001
R$ 370.000,"Costa E Silva, Joinville",102,3,3, 3,-26.2737145,-48.8721318
R$ 388.628,"Costa E Silva, Joinville",59,2,2, 1,-26.2737145,-48.8721318
R$ 190.000,"Costa E Silva, Joinville",59,2,1, 1,-26.2737145,-48.8721318
R$ 329.000,"Costa E Silva, Joinville",98,3,2, 3,-26.2737145,-48.8721318
R$ 499.000,"Costa E Silva, Joinville",130,3,4, 2,-26.2737145,-48.8721318
R$ 220.000,"Costa E Silva, Joinville",52,2,1, 1,-26.2737145,-48.8721318
R$ 190.000,"Rua Rudolf Stutzer, Costa E Silva",55,2,1, 2,-26.2693016,-48.8714264
R$ 280.000,"Costa E Silva, Joinville",89,2,1, 2,-26.2737145,-48.8721318
R$ 270.000,"Costa E Silva, Joinville",57,2,1, 1,-26.2737145,-48.8721318
R$ 350.000,"Costa E Silva, Joinville",80,3,2, 2,-26.2737145,-48.8721318
R$ 495.000,"Costa E Silva, Joinville",104,3,2, 2,-26.2737145,-48.8721318
R$ 265.000,"Rua Oscar Rosas, Costa E Silva",69,2,1, 2,-26.2666398,-48.8828487
R$ 240.000,"Costa E Silva, Joinville",75,2,1, 2,-26.2737145,-48.8721318
R$ 175.700,"Rua Alberto Wiest, Costa E Silva",48,2,Não definido, 1,-26.2707697,-48.8866373
R$ 330.000,"Costa E Silva, Joinville",94,3,2, 3,-26.2737145,-48.8721318
R$ 370.001,"Rua Rodolfo Plotow, Costa E Silva",102,3,3, 3,-26.2839496,-48.8692374
R$ 400.000,"Rua Henrique Miers, Costa E Silva",71,2,1, 2,-26.2768412,-48.8714287
R$ 195.000,"Costa E Silva, Joinville",61,2,1, 1,-26.2737145,-48.8721318
R$ 230.000,"Rua Carlos Willy Boehm, Costa E Silva",62,2,1, 1,-26.2705524,-48.8628367
R$ 235.000,"Costa E Silva, Joinville",74,2,1, 1,-26.2737145,-48.8721318
R$ 195.000,"Costa E Silva, Joinville",65,2,1, 1,-26.2737145,-48.8721318
R$ 379.000,"Rua Guilherme, Costa E Silva",132,2,2, 3,-26.2789387,-48.86575060000001
R$ 335.000,"Rua Henrique Miers, Costa E Silva",71,2,1, 2,-26.2768412,-48.8714287
R$ 388.000,"Costa E Silva, Joinville",71,3,2, 1,-26.2737145,-48.8721318
R$ 235.000,"Costa E Silva, Joinville",74,2,1, 1,-26.2737145,-48.8721318
R$ 195.000,"Costa E Silva, Joinville",65,2,1, 1,-26.2737145,-48.8721318
R$ 379.000,"Rua Guilherme, Costa E Silva",132,2,2, 3,-26.2789387,-48.86575060000001
R$ 388.000,"Costa E Silva, Joinville",71,3,2, 1,-26.2737145,-48.8721318
R$ 365.712,"Rua Guilherme, Costa E Silva",71,3,2, 2,-26.2789387,-48.86575060000001
R$ 447.775,"Costa E Silva, Joinville",91,3,2, 2,-26.2737145,-48.8721318
R$ 230.000,"Costa E Silva, Joinville",69,2,1, 2,-26.2737145,-48.8721318
R$ 265.000,"Costa E Silva, Joinville",103,2,2, 2,-26.2737145,-48.8721318
R$ 269.000,"Costa E Silva, Joinville",65,3,2, 2,-26.2737145,-48.8721318
R$ 370.000,"Costa E Silva, Joinville",81,2,2, 2,-26.2737145,-48.8721318
R$ 399.000,"Costa E Silva, Joinville",141,2,2, 2,-26.2737145,-48.8721318
R$ 199.000,"Costa E Silva, Joinville",74,3,2, 2,-26.2737145,-48.8721318
R$ 249.000,"Costa E Silva, Joinville",70,2,2, 2,-26.2737145,-48.8721318
R$ 780.000,"Costa E Silva, Joinville",141,2,2, 3,-26.2737145,-48.8721318
R$ 183.700,"Rua Alberto Wiest, Costa E Silva",48,2,2, 1,-26.2707697,-48.8866373
R$ 370.000,"Rua Rodolfo Plotow, Costa E Silva",102,3,1, 3,-26.2839496,-48.8692374
R$ 270.000,"Rua Albino Kolbach, Costa E Silva",123,3,1, 2,-26.283651,-48.87050929999999
R$ 290.005,"Costa E Silva, Joinville",58,2,Não definido, 2,-26.2737145,-48.8721318
R$ 292.980,"Costa E Silva, Joinville",57,2,1, 1,-26.2737145,-48.8721318
R$ 360.000,"Costa E Silva, Joinville",71,2,1, 2,-26.2737145,-48.8721318
R$ 210.000,"Costa E Silva, Joinville",53,2,1, 1,-26.2737145,-48.8721318
R$ 550.000,"Costa E Silva, Joinville",684,Não definido,Não definido,Não definido,-26.2737145,-48.8721318
R$ 211.770,"Costa E Silva, Joinville",56,2,1, 1,-26.2737145,-48.8721318
R$ 339.000,"Costa E Silva, Joinville",75,2,1, 2,-26.2737145,-48.8721318
R$ 370.000,"Costa E Silva, Joinville",102,3,2, 3,-26.2737145,-48.8721318
R$ 395.500,"Costa E Silva, Joinville",70,2,2, 2,-26.2737145,-48.8721318
R$ 379.000,"Costa E Silva, Joinville",92,2,2, 2,-26.2737145,-48.8721318
R$ 280.000,"Rua Professor James Fruhstuck, Costa E Silva",66,2,1, 2,-26.2766023,-48.86765399999999
R$ 339.355,"Costa E Silva, Joinville",63,2,1, 2,-26.2737145,-48.8721318
R$ 310.000,"Rua Félix Heinzelmann, Costa E Silva",81,3,1, 2,-26.2710829,-48.8645962
R$ 327.000,"Rua Helena Degelmann, Costa E Silva",83,3,2, 2,-26.2767639,-48.8698086
R$ 293.188,"Costa E Silva, Joinville",62,2,1, 2,-26.2737145,-48.8721318
R$ 219.000,"Costa E Silva, Joinville",62,2,1, 2,-26.2737145,-48.8721318
R$ 190.000,"Rua Rudolf Stutzer, Costa E Silva",55,2,1, 2,-26.2693016,-48.8714264
R$ 195.000,"Costa E Silva, Joinville",65,2,1, 1,-26.2737145,-48.8721318
R$ 399.021,"Costa E Silva, Joinville",71,2,1, 2,-26.2737145,-48.8721318
R$ 408.000,"Costa E Silva, Joinville",110,3,2, 3,-26.2737145,-48.8721318
R$ 625.000,"Costa E Silva, Joinville",170,3,2, 2,-26.2737145,-48.8721318
R$ 203.200,"Rua Inambu, Costa E Silva",61,1,1, 1,-26.2732967,-48.8817773
R$ 620.953,"Rua Victor Kursancew, Costa E Silva",129,2,2, 2,-26.2693358,-48.8665288
R$ 219.000,"Costa E Silva, Joinville",62,3,2, 2,-26.2737145,-48.8721318
R$ 529.222,"Costa E Silva, Joinville",111,3,1, 2,-26.2737145,-48.8721318
R$ 310.001,"Rua Agostinho José Cognaco, Costa E Silva",108,3,2, 3,-26.2677292,-48.8850177
R$ 220.000,"Rua Rui Barbosa, Costa E Silva",61,2,1, 2,-26.265425,-48.8807888
R$ 290.000,"Rua Pavão, Costa E Silva",60,2,1, 2,-26.2724899,-48.88052560000001
R$ 390.000,"Costa E Silva, Joinville",106,3,2, 3,-26.2737145,-48.8721318
R$ 320.000,"Costa E Silva, Joinville",106,2,2, 1,-26.2737145,-48.8721318
R$ 860.000,"Costa E Silva, Joinville",232,3,2, 2,-26.2737145,-48.8721318
R$ 235.000,"Rua Victor Muller, Costa E Silva",70,2,2, 1,-26.2713342,-48.86795840000001
R$ 218.000,"Rua Alícia Bittencourt Ferreira, Costa E Silva",52,2,2, 1,-26.2674069,-48.8770849
R$ 138.000,"Rua Guilherme, Costa E Silva",44,1,1, 1,-26.2789387,-48.86575060000001
R$ 265.000,"Costa E Silva, Joinville",88,2,1, 1,-26.2737145,-48.8721318
R$ 209.000,"Costa E Silva, Joinville",59,2,1, 2,-26.2737145,-48.8721318
R$ 192.594,"Costa E Silva, Joinville",53,2,1, 1,-26.2737145,-48.8721318
R$ 121.000,"Costa E Silva, Joinville",50,2,1, 1,-26.2737145,-48.8721318
R$ 680.000,"Rua Duarte Schuttel, Costa E Silva",268,3,4, 4,-26.2683149,-48.8831567
R$ 325.000,"Costa E Silva, Joinville",75,2,1, 2,-26.2737145,-48.8721318
R$ 370.000,"Costa E Silva, Joinville",70,3,2, 2,-26.2737145,-48.8721318
R$ 228.000,"Costa E Silva, Joinville",63,2,1, 1,-26.2737145,-48.8721318
R$ 280.000,"Rua Henrique Miers, Costa E Silva",67,2,1, 2,-26.2768412,-48.8714287
R$ 250.000,"Costa E Silva, Joinville",85,3,1, 2,-26.2737145,-48.8721318
R$ 375.000,"Rua Erwin Seiller, Costa E Silva",116,3,2, 3,-26.2805842,-48.881623
R$ 380.000,"Costa E Silva, Joinville",102,3,2, 2,-26.2737145,-48.8721318
R$ 374.641,"Costa E Silva, Joinville",73,2,1, 2,-26.2737145,-48.8721318
R$ 230.000,"Rua Rui Barbosa, Costa E Silva",61,2,1, 3,-26.265425,-48.8807888
R$ 249.000,"Costa E Silva, Joinville",70,2,2, 2,-26.2737145,-48.8721318
R$ 261.992,"Costa E Silva, Joinville",39,1,Não definido, 1,-26.2737145,-48.8721318
R$ 365.000,"Costa E Silva, Joinville",71,2,1, 2,-26.2737145,-48.8721318
R$ 170.000,"Costa E Silva, Joinville",55,3,1, 1,-26.2737145,-48.8721318
R$ 339.900,"Rua Professor Felício Fuzinato, Costa E Silva",75,2,1, 2,-26.2703151,-48.8665016
R$ 165.000,"Rua Comandante Telles de Mendonça, Costa E Silva",55,3,1, 1,-26.2761469,-48.8725522
R$ 420.000,"Rua Rui Barbosa, Costa E Silva",123,3,2, 3,-26.265425,-48.8807888
